Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/04/23,23:47:25,38.3413,30.6733,1.3,4.1,Şuhut,Ege Bölgesi
2020/04/23,23:12:18,35.9332,35.4687,1.7,12.2,Mersin,Akdeniz Bölgesi
2020/04/23,23:10:40,38.3937,39.2130,1.3,5.1,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,21:49:17,38.9303,27.8617,1.8,11.8,Manisa,Ege Bölgesi
2020/04/23,21:12:28,38.3867,39.1105,1.9,7.5,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,21:08:16,38.4102,39.2760,1.3,12.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,20:56:21,38.3630,39.1237,2.0,3.5,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,20:43:35,37.9535,27.6197,1.7,4.3,Aydın,Ege Bölgesi
2020/04/23,20:23:23,37.5247,32.0998,1.6,7.2,Konya,İç Anadolu Bölgesi
2020/04/23,19:46:18,37.7055,35.0618,2.2,2.9,Niğde,İç Anadolu Bölgesi
2020/04/23,18:32:34,38.2375,38.7067,1.5,21.1,Malatya,Doğu Anadolu Bölgesi
2020/04/23,18:13:03,39.0962,27.8045,1.9,11.5,Manisa,Ege Bölgesi
2020/04/23,17:33:00,37.1788,29.0182,2.1,5.0,Denizli,Ege Bölgesi
2020/04/23,17:29:40,38.4393,30.6643,1.7,15.7,Şuhut,Ege Bölgesi
2020/04/23,16:45:50,38.9742,27.8908,1.7,5.4,Manisa,Ege Bölgesi
2020/04/23,16:44:58,39.1468,29.0583,2.1,5.4,Kütahya,Ege Bölgesi
2020/04/23,16:36:27,39.0985,27.8068,2.0,3.3,Manisa,Ege Bölgesi
2020/04/23,16:32:14,38.4318,39.2962,1.0,1.8,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,16:27:51,39.1463,29.0533,2.5,6.0,Kütahya,Ege Bölgesi
2020/04/23,16:13:40,38.3867,39.1147,1.6,6.6,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,16:00:28,39.1018,27.7985,2.3,8.0,Manisa,Ege Bölgesi
2020/04/23,15:13:25,39.0562,27.8430,1.5,5.3,Manisa,Ege Bölgesi
2020/04/23,14:36:01,38.4620,39.3162,1.6,18.2,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,14:26:24,39.0085,27.8833,1.7,8.8,Manisa,Ege Bölgesi
2020/04/23,13:43:06,37.3787,35.9402,1.3,10.4,Osmaniye,Akdeniz Bölgesi
2020/04/23,13:07:18,38.0302,32.5067,1.2,0.0,Konya,İç Anadolu Bölgesi
2020/04/23,13:05:32,40.2207,30.7907,1.7,0.0,Bolu,Karadeniz Bölgesi
2020/04/23,13:02:57,40.2078,30.8282,1.6,0.0,Bolu,Karadeniz Bölgesi
2020/04/23,13:01:08,37.3942,35.9207,1.3,4.7,Osmaniye,Akdeniz Bölgesi
2020/04/23,12:22:25,39.9023,28.9100,1.9,0.0,Bursa,Marmara Bölgesi
2020/04/23,12:01:01,37.4538,40.1723,1.5,2.2,Mardin,Güneydoğu Anadolu Bölgesi
2020/04/23,11:56:43,37.2615,28.2690,1.7,0.0,Muğla,Ege Bölgesi
2020/04/23,11:51:13,37.3618,37.3253,1.2,8.5,Kahramanmaraş,Akdeniz Bölgesi
2020/04/23,11:50:08,38.7053,27.8923,1.3,12.9,Manisa,Ege Bölgesi
2020/04/23,11:19:03,38.9595,27.8770,2.3,7.1,Manisa,Ege Bölgesi
2020/04/23,10:04:01,38.2640,38.6965,1.9,14.5,Malatya,Doğu Anadolu Bölgesi
2020/04/23,09:21:04,37.5408,35.9672,1.9,6.9,Adana,Akdeniz Bölgesi
2020/04/23,09:06:03,38.9117,27.9233,1.2,10.0,Manisa,Ege Bölgesi
2020/04/23,08:40:22,37.1772,28.3477,1.1,0.0,Muğla,Ege Bölgesi
2020/04/23,08:23:25,36.1787,30.5595,2.6,20.8,Mersin,Akdeniz Bölgesi
2020/04/23,07:50:27,38.4482,39.1083,1.6,15.2,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,07:28:31,39.4928,38.9718,2.8,2.6,Erzincan,Doğu Anadolu Bölgesi
2020/04/23,07:17:31,38.4198,39.2097,0.5,4.8,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,06:59:04,39.0452,27.8270,3.0,6.5,Manisa,Ege Bölgesi
2020/04/23,06:17:10,38.3848,39.2250,1.5,8.7,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,05:59:19,38.5110,39.4073,1.1,13.6,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,05:10:19,38.4085,39.1535,1.3,5.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,05:01:13,38.4157,39.2205,0.8,9.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,04:50:29,38.4007,39.2125,1.4,4.9,Elazığ,Doğu Anadolu Bölgesi
2020/04/23,00:53:23,40.8077,31.9463,2.7,4.9,Bolu,Karadeniz Bölgesi
