Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/04/27,23:33:56,39.0403,27.8142,2.0,5.1,Manisa,Ege Bölgesi
2020/04/27,22:07:02,38.3878,39.4508,1.4,5.1,Elazığ,Doğu Anadolu Bölgesi
2020/04/27,18:46:36,39.1367,27.8088,2.4,8.1,Manisa,Ege Bölgesi
2020/04/27,15:02:33,38.4052,39.1618,2.0,12.9,Elazığ,Doğu Anadolu Bölgesi
2020/04/27,14:22:00,39.5972,26.1008,1.3,2.0,Çanakkale,Marmara Bölgesi
2020/04/27,14:16:59,39.5758,26.0770,1.7,8.4,Çanakkale,Marmara Bölgesi
2020/04/27,12:44:39,38.4642,39.2910,1.9,9.6,Elazığ,Doğu Anadolu Bölgesi
2020/04/27,12:10:22,35.9142,30.6230,3.0,8.1,Mersin,Akdeniz Bölgesi
2020/04/27,09:16:35,38.2970,27.2777,1.8,5.3,İzmir,Ege Bölgesi
2020/04/27,09:13:38,38.3167,38.9040,1.0,23.7,Malatya,Doğu Anadolu Bölgesi
2020/04/27,08:53:26,38.5050,39.3007,0.9,16.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/27,08:22:10,38.4115,38.8678,2.3,18.2,Elazığ,Doğu Anadolu Bölgesi
2020/04/27,05:16:50,39.0632,27.8627,1.4,15.6,Manisa,Ege Bölgesi
2020/04/27,04:34:03,40.8397,35.2673,1.6,2.1,Amasya,Karadeniz Bölgesi
2020/04/27,04:26:11,38.2237,26.7222,1.4,7.7,İzmir,Ege Bölgesi
2020/04/27,03:51:38,35.8182,35.5092,2.4,11.6,Mersin,Akdeniz Bölgesi
2020/04/27,03:25:36,38.4098,39.1762,1.4,4.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/27,03:18:19,40.0737,33.2383,1.9,2.2,Ankara,İç Anadolu Bölgesi
2020/04/27,02:50:20,40.0673,33.2597,2.0,7.0,Ankara,İç Anadolu Bölgesi
2020/04/27,02:28:08,38.3048,38.8252,1.8,15.9,Malatya,Doğu Anadolu Bölgesi
2020/04/27,02:27:09,40.0825,33.2373,3.7,1.0,Ankara,İç Anadolu Bölgesi
2020/04/27,02:26:36,38.2328,38.8272,2.4,3.9,Malatya,Doğu Anadolu Bölgesi
2020/04/27,02:05:56,36.0828,27.1663,1.9,10.8,Mersin,Akdeniz Bölgesi
2020/04/27,01:46:14,38.4248,39.2518,1.4,11.9,Elazığ,Doğu Anadolu Bölgesi
2020/04/27,01:36:13,39.0353,27.8220,1.6,5.5,Manisa,Ege Bölgesi
2020/04/27,01:01:01,38.9983,29.7490,2.1,1.2,Kütahya,Ege Bölgesi
