Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/04/17,23:37:23,38.6925,25.1908,1.9,3.1,Aydın,Ege Bölgesi
2020/04/17,23:32:54,38.4495,39.2148,0.7,5.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/17,23:27:29,38.4380,39.2542,1.6,6.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/17,22:59:52,35.2990,27.8787,2.2,6.6,Mersin,Akdeniz Bölgesi
2020/04/17,22:50:40,38.9955,27.8835,1.8,21.5,Manisa,Ege Bölgesi
2020/04/17,21:29:19,38.7865,27.7102,1.6,9.8,Manisa,Ege Bölgesi
2020/04/17,20:44:26,37.5163,35.9900,1.4,5.0,Osmaniye,Akdeniz Bölgesi
2020/04/17,19:51:01,37.4533,36.0008,2.4,4.4,Osmaniye,Akdeniz Bölgesi
2020/04/17,19:39:49,37.4800,36.0098,1.6,12.8,Osmaniye,Akdeniz Bölgesi
2020/04/17,19:26:54,37.4818,35.8262,1.2,19.2,Adana,Akdeniz Bölgesi
2020/04/17,18:18:06,39.7495,32.6022,1.7,0.0,Ankara,İç Anadolu Bölgesi
2020/04/17,17:31:12,38.5470,39.4190,1.4,2.5,Elazığ,Doğu Anadolu Bölgesi
2020/04/17,17:00:17,38.4992,29.1358,1.2,13.2,Uşak,Ege Bölgesi
2020/04/17,16:13:32,38.6345,42.1613,2.1,5.0,Bitlis,Doğu Anadolu Bölgesi
2020/04/17,16:07:23,38.9505,33.6403,1.6,5.7,Ankara,İç Anadolu Bölgesi
2020/04/17,15:00:53,37.5358,36.2445,1.7,22.4,Osmaniye,Akdeniz Bölgesi
2020/04/17,15:00:44,38.3978,38.9410,1.5,22.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/17,14:22:28,40.6705,32.3558,1.7,8.8,Bolu,Karadeniz Bölgesi
2020/04/17,13:52:20,39.1580,27.6100,1.3,0.0,Manisa,Ege Bölgesi
2020/04/17,13:37:04,38.2670,39.0018,1.1,17.8,Malatya,Doğu Anadolu Bölgesi
2020/04/17,13:36:18,40.0117,34.0830,1.4,5.0,Kırıkkale,İç Anadolu Bölgesi
2020/04/17,13:20:00,38.3293,38.9072,3.4,6.2,Malatya,Doğu Anadolu Bölgesi
2020/04/17,13:13:43,39.2167,41.1707,2.3,3.4,Bingöl,Doğu Anadolu Bölgesi
2020/04/17,12:57:51,39.2038,41.1697,2.0,1.5,Bingöl,Doğu Anadolu Bölgesi
2020/04/17,12:52:42,38.4312,39.2643,1.8,8.1,Elazığ,Doğu Anadolu Bölgesi
2020/04/17,12:48:00,41.8063,27.7377,1.4,5.5,Kırklareli,Marmara Bölgesi
2020/04/17,12:00:58,37.1793,38.7067,2.3,0.0,Şanlıurfa,Güneydoğu Anadolu Bölgesi
2020/04/17,11:48:26,37.2492,28.2565,1.9,0.0,Muğla,Ege Bölgesi
2020/04/17,11:35:59,39.9972,27.0338,1.1,4.8,Çanakkale,Marmara Bölgesi
2020/04/17,11:25:29,39.0060,27.8773,1.8,4.9,Manisa,Ege Bölgesi
2020/04/17,10:54:45,38.1248,32.6813,1.1,0.0,Konya,İç Anadolu Bölgesi
2020/04/17,10:13:05,39.4963,28.1790,1.4,12.9,Balıkesir,Marmara Bölgesi
2020/04/17,09:38:52,38.8945,27.9035,1.0,8.3,Manisa,Ege Bölgesi
2020/04/17,09:20:42,37.0168,28.0728,1.7,18.0,Muğla,Ege Bölgesi
2020/04/17,09:04:47,39.4885,25.1570,1.8,8.0,Aydın,Ege Bölgesi
2020/04/17,08:44:22,37.9325,28.8228,1.9,6.6,Denizli,Ege Bölgesi
2020/04/17,08:43:15,37.9682,28.8357,2.2,1.6,Aydın,Ege Bölgesi
2020/04/17,08:41:36,37.9633,28.8090,2.3,18.6,Aydın,Ege Bölgesi
2020/04/17,08:40:26,37.9733,28.8083,3.5,5.8,Aydın,Ege Bölgesi
2020/04/17,07:58:42,39.4822,25.1935,2.8,7.8,Aydın,Ege Bölgesi
2020/04/17,07:50:18,38.3035,38.9128,2.4,4.8,Malatya,Doğu Anadolu Bölgesi
2020/04/17,06:17:14,38.9483,27.9025,1.8,9.0,Manisa,Ege Bölgesi
2020/04/17,05:42:10,40.5382,36.7032,0.9,4.1,Tokat,Karadeniz Bölgesi
2020/04/17,05:36:30,38.9993,27.9125,1.1,1.6,Manisa,Ege Bölgesi
2020/04/17,05:13:47,39.1332,29.0527,1.8,11.1,Kütahya,Ege Bölgesi
2020/04/17,05:13:08,39.5822,26.4493,1.5,7.4,Çanakkale,Marmara Bölgesi
