Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/04/19,23:39:35,39.0877,27.8317,2.1,6.6,Manisa,Ege Bölgesi
2020/04/19,23:36:42,38.4032,39.1488,1.8,5.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/19,22:54:16,39.1010,27.8112,3.0,13.8,Manisa,Ege Bölgesi
2020/04/19,22:46:20,39.1443,27.9185,1.6,6.4,Manisa,Ege Bölgesi
2020/04/19,21:37:28,40.1578,34.1747,2.2,5.4,Çorum,Karadeniz Bölgesi
2020/04/19,21:12:08,36.4718,28.7053,2.5,2.8,Mersin,Akdeniz Bölgesi
2020/04/19,20:30:38,39.1195,27.8410,1.5,7.7,Manisa,Ege Bölgesi
2020/04/19,20:26:12,39.1153,27.8048,1.3,5.6,Manisa,Ege Bölgesi
2020/04/19,20:09:16,39.1002,27.8163,3.1,8.3,Manisa,Ege Bölgesi
2020/04/19,18:53:11,39.1493,27.8365,1.7,9.8,Manisa,Ege Bölgesi
2020/04/19,18:53:06,38.1217,38.5313,1.5,14.7,Adıyaman,Güneydoğu Anadolu Bölgesi
2020/04/19,18:51:26,38.4678,39.2580,2.6,5.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/19,17:35:42,39.6168,26.4708,1.8,9.6,Çanakkale,Marmara Bölgesi
2020/04/19,17:09:42,38.4235,39.1917,1.3,1.9,Elazığ,Doğu Anadolu Bölgesi
2020/04/19,16:52:36,39.1048,27.7958,2.9,7.4,Manisa,Ege Bölgesi
2020/04/19,16:10:33,39.1025,27.8028,2.0,4.8,Manisa,Ege Bölgesi
2020/04/19,15:36:44,39.1012,27.8145,2.0,7.9,Manisa,Ege Bölgesi
2020/04/19,15:25:14,38.4258,39.1623,2.1,4.4,Elazığ,Doğu Anadolu Bölgesi
2020/04/19,15:01:13,35.2762,27.9155,3.8,9.9,Mersin,Akdeniz Bölgesi
2020/04/19,14:49:28,39.1048,27.7973,3.0,9.2,Manisa,Ege Bölgesi
2020/04/19,14:29:10,37.8193,29.6880,2.1,5.4,Denizli,Ege Bölgesi
2020/04/19,13:28:08,39.1038,27.8122,2.5,7.9,Manisa,Ege Bölgesi
2020/04/19,13:05:22,39.1087,27.7912,2.4,8.3,Manisa,Ege Bölgesi
2020/04/19,13:00:14,39.1087,27.7573,1.8,7.8,Manisa,Ege Bölgesi
2020/04/19,11:53:16,39.1023,27.8037,2.5,5.4,Manisa,Ege Bölgesi
2020/04/19,11:40:59,39.1080,27.8105,2.5,8.4,Manisa,Ege Bölgesi
2020/04/19,11:38:35,39.0898,27.8043,1.6,5.4,Manisa,Ege Bölgesi
2020/04/19,11:37:00,39.1177,27.8275,1.6,7.8,Manisa,Ege Bölgesi
2020/04/19,11:35:54,39.1202,27.8168,1.9,9.7,Manisa,Ege Bölgesi
2020/04/19,11:32:02,39.1072,27.8035,4.3,8.0,Manisa,Ege Bölgesi
2020/04/19,11:09:30,36.2408,28.9277,1.8,7.6,Mersin,Akdeniz Bölgesi
2020/04/19,10:01:33,38.5082,25.7352,2.3,5.5,Aydın,Ege Bölgesi
2020/04/19,09:54:26,38.6785,43.1203,2.2,5.0,Van,Doğu Anadolu Bölgesi
2020/04/19,08:19:06,36.4502,28.7335,2.5,1.8,Mersin,Akdeniz Bölgesi
2020/04/19,07:24:20,39.7397,33.2008,1.5,8.8,Ankara,İç Anadolu Bölgesi
2020/04/19,06:32:00,38.4348,29.6182,1.7,7.9,Uşak,Ege Bölgesi
2020/04/19,06:21:53,40.6788,35.5593,2.1,7.4,Amasya,Karadeniz Bölgesi
2020/04/19,06:03:15,38.9820,27.8622,1.0,10.7,Manisa,Ege Bölgesi
2020/04/19,05:56:32,38.4280,29.6257,2.5,13.8,Uşak,Ege Bölgesi
2020/04/19,05:49:48,39.0507,27.8610,1.9,4.7,Manisa,Ege Bölgesi
2020/04/19,05:20:05,40.2987,28.3757,2.4,5.5,Bursa,Marmara Bölgesi
2020/04/19,03:38:23,38.4788,39.3105,2.3,12.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/19,03:26:30,38.9947,35.8227,2.4,5.1,Kayseri,İç Anadolu Bölgesi
2020/04/19,03:15:01,36.3120,25.6180,2.1,5.1,Mersin,Akdeniz Bölgesi
2020/04/19,03:06:16,37.0530,28.8528,1.2,1.6,Muğla,Ege Bölgesi
2020/04/19,03:00:10,38.9813,27.8587,1.4,12.6,Manisa,Ege Bölgesi
2020/04/19,02:53:00,38.9640,35.7795,1.5,6.0,Kayseri,İç Anadolu Bölgesi
2020/04/19,02:41:51,38.9802,35.7965,2.2,5.5,Kayseri,İç Anadolu Bölgesi
2020/04/19,02:38:13,39.0675,27.8693,1.3,9.1,Manisa,Ege Bölgesi
2020/04/19,00:49:05,40.1777,25.1185,2.3,10.2,Aydın,Ege Bölgesi
2020/04/19,00:47:02,39.0685,27.8903,1.4,5.0,Manisa,Ege Bölgesi
2020/04/19,00:46:00,39.1073,30.1592,2.3,5.3,Kütahya,Ege Bölgesi
2020/04/19,00:12:54,36.8035,30.3923,1.1,5.0,Antalya,Akdeniz Bölgesi
2020/04/19,00:01:23,36.8028,30.3697,1.1,5.0,Antalya,Akdeniz Bölgesi
