Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/04/08,23:43:32,38.1995,44.3282,3.5,5.0,Van,Doğu Anadolu Bölgesi
2020/04/08,23:33:32,37.4353,35.9822,1.8,6.7,Osmaniye,Akdeniz Bölgesi
2020/04/08,23:31:50,37.4567,35.9800,1.6,12.3,Osmaniye,Akdeniz Bölgesi
2020/04/08,22:58:31,37.4822,36.0235,2.6,5.0,Osmaniye,Akdeniz Bölgesi
2020/04/08,22:43:22,39.0825,27.8072,2.7,9.7,Manisa,Ege Bölgesi
2020/04/08,22:17:19,39.9150,33.9063,1.9,10.7,Kırıkkale,İç Anadolu Bölgesi
2020/04/08,22:14:05,39.8767,33.9753,2.0,7.8,Kırıkkale,İç Anadolu Bölgesi
2020/04/08,21:35:53,37.8422,29.6920,1.4,7.9,Denizli,Ege Bölgesi
2020/04/08,21:27:40,37.5263,36.0503,3.3,5.0,Osmaniye,Akdeniz Bölgesi
2020/04/08,20:53:56,38.8223,42.4463,1.7,21.6,Bitlis,Doğu Anadolu Bölgesi
2020/04/08,20:44:06,37.4085,35.9610,1.5,14.5,Osmaniye,Akdeniz Bölgesi
2020/04/08,20:41:00,37.1002,32.3653,1.7,18.3,Konya,İç Anadolu Bölgesi
2020/04/08,20:38:15,40.1695,31.7135,2.0,10.2,Ankara,İç Anadolu Bölgesi
2020/04/08,20:07:32,39.1467,28.0413,1.5,10.3,Manisa,Ege Bölgesi
2020/04/08,19:40:35,37.3058,36.3377,1.7,12.8,Osmaniye,Akdeniz Bölgesi
2020/04/08,19:20:19,38.4400,39.3655,2.4,12.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,18:48:14,37.4707,35.9652,1.9,12.6,Osmaniye,Akdeniz Bölgesi
2020/04/08,18:46:43,37.5007,36.0188,3.0,5.0,Osmaniye,Akdeniz Bölgesi
2020/04/08,18:32:01,39.1295,29.1053,2.3,7.6,Kütahya,Ege Bölgesi
2020/04/08,17:49:29,39.8405,33.0397,1.6,8.5,Ankara,İç Anadolu Bölgesi
2020/04/08,17:13:19,39.0040,27.8233,2.0,5.3,Manisa,Ege Bölgesi
2020/04/08,16:33:03,37.7685,32.2867,1.2,0.0,Konya,İç Anadolu Bölgesi
2020/04/08,16:21:29,38.3675,39.1278,1.0,12.2,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,16:05:31,38.4018,38.9763,1.3,13.6,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,16:00:21,38.9438,27.9033,1.9,4.8,Manisa,Ege Bölgesi
2020/04/08,14:36:02,38.4025,39.1622,2.8,5.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,13:18:26,38.1207,28.8563,1.2,28.7,Denizli,Ege Bölgesi
2020/04/08,12:49:44,39.0963,27.5728,1.6,0.0,Manisa,Ege Bölgesi
2020/04/08,12:37:57,37.3367,37.2713,1.4,5.0,Kahramanmaraş,Akdeniz Bölgesi
2020/04/08,12:35:50,37.2790,31.9150,2.0,0.0,Konya,İç Anadolu Bölgesi
2020/04/08,12:19:24,36.1320,33.5738,1.3,0.0,Mersin,Akdeniz Bölgesi
2020/04/08,11:57:13,37.1352,28.2703,1.9,5.0,Muğla,Ege Bölgesi
2020/04/08,11:39:39,38.3413,39.0957,1.5,3.7,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,11:03:17,39.0488,27.8282,1.6,5.0,Manisa,Ege Bölgesi
2020/04/08,10:42:05,39.1128,27.8335,1.6,9.6,Manisa,Ege Bölgesi
2020/04/08,10:39:40,39.1380,27.8103,2.0,5.2,Manisa,Ege Bölgesi
2020/04/08,10:32:17,39.1983,28.1080,2.2,19.8,Balıkesir,Marmara Bölgesi
2020/04/08,10:14:30,37.9255,32.1290,1.9,12.7,Konya,İç Anadolu Bölgesi
2020/04/08,10:08:32,37.5817,29.8752,1.9,27.9,Burdur,Akdeniz Bölgesi
2020/04/08,09:39:10,39.0783,27.8230,3.0,9.3,Manisa,Ege Bölgesi
2020/04/08,08:55:45,38.3620,38.9973,1.9,7.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,08:51:20,38.9212,27.2813,1.6,20.7,İzmir,Ege Bölgesi
2020/04/08,07:11:44,38.3845,38.8877,1.6,22.7,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,07:09:23,38.9753,27.8285,1.4,17.6,Manisa,Ege Bölgesi
2020/04/08,06:40:56,39.0062,27.8515,1.7,10.6,Manisa,Ege Bölgesi
2020/04/08,05:54:03,39.1088,27.7940,2.0,13.2,Manisa,Ege Bölgesi
2020/04/08,02:36:34,38.4180,39.2727,1.5,14.5,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,02:21:42,38.4327,39.1503,2.1,5.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,02:01:35,38.3840,39.2057,1.0,4.9,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,01:49:23,39.6270,26.1127,2.4,6.8,Çanakkale,Marmara Bölgesi
2020/04/08,01:24:25,38.4012,39.1173,1.4,9.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,01:18:28,39.0000,27.8672,2.1,3.3,Manisa,Ege Bölgesi
2020/04/08,01:18:13,38.3908,39.1362,0.7,5.2,Elazığ,Doğu Anadolu Bölgesi
2020/04/08,01:07:52,38.4070,42.3047,2.0,5.4,Bitlis,Doğu Anadolu Bölgesi
