Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/05/04,23:49:11,36.9965,34.5712,1.4,6.1,Mersin,Akdeniz Bölgesi
2020/05/04,22:13:24,36.1358,25.6972,2.4,5.0,Mersin,Akdeniz Bölgesi
2020/05/04,21:07:36,38.4675,39.3838,1.2,12.8,Elazığ,Doğu Anadolu Bölgesi
2020/05/04,20:43:12,39.0942,27.8202,2.6,13.5,Manisa,Ege Bölgesi
2020/05/04,20:21:55,39.0787,27.8110,1.4,10.1,Manisa,Ege Bölgesi
2020/05/04,19:49:55,39.3270,38.3887,2.0,4.2,Erzincan,Doğu Anadolu Bölgesi
2020/05/04,19:20:50,37.9210,29.4203,2.0,7.6,Denizli,Ege Bölgesi
2020/05/04,18:32:59,37.5147,35.9445,1.7,6.5,Adana,Akdeniz Bölgesi
2020/05/04,18:10:28,37.5305,35.9598,2.2,5.5,Adana,Akdeniz Bölgesi
2020/05/04,16:52:32,40.7207,29.1353,2.6,6.9,Yalova,Marmara Bölgesi
2020/05/04,14:42:36,40.0030,27.0460,1.3,4.4,Çanakkale,Marmara Bölgesi
2020/05/04,14:35:44,37.6522,35.8555,1.9,13.0,Adana,Akdeniz Bölgesi
2020/05/04,13:38:09,38.1272,27.2430,1.5,4.7,İzmir,Ege Bölgesi
2020/05/04,13:34:02,37.3525,37.4433,1.9,6.1,Gaziantep,Güneydoğu Anadolu Bölgesi
2020/05/04,13:15:52,37.4857,35.9658,1.9,5.1,Osmaniye,Akdeniz Bölgesi
2020/05/04,12:57:22,39.8427,28.7948,1.9,0.0,Bursa,Marmara Bölgesi
2020/05/04,11:47:04,37.2103,28.4687,1.3,1.9,Muğla,Ege Bölgesi
2020/05/04,11:16:26,39.4518,28.1070,1.5,5.0,Balıkesir,Marmara Bölgesi
2020/05/04,09:56:44,38.4050,37.2037,1.9,15.6,Kahramanmaraş,Akdeniz Bölgesi
2020/05/04,09:05:57,37.5045,35.9668,2.7,15.6,Osmaniye,Akdeniz Bölgesi
2020/05/04,08:46:17,39.3323,38.4442,1.8,8.0,Erzincan,Doğu Anadolu Bölgesi
2020/05/04,08:45:27,39.3295,38.3953,2.3,5.0,Erzincan,Doğu Anadolu Bölgesi
2020/05/04,08:42:12,38.4222,39.2733,1.5,7.5,Elazığ,Doğu Anadolu Bölgesi
2020/05/04,08:32:46,39.0075,27.8575,2.3,11.6,Manisa,Ege Bölgesi
2020/05/04,08:07:34,37.5068,36.0103,1.7,18.2,Osmaniye,Akdeniz Bölgesi
2020/05/04,08:02:17,38.3697,39.0917,1.8,4.7,Elazığ,Doğu Anadolu Bölgesi
2020/05/04,07:53:02,39.6787,40.6113,2.9,7.9,Erzincan,Doğu Anadolu Bölgesi
2020/05/04,07:36:17,39.0757,29.7327,2.3,5.1,Kütahya,Ege Bölgesi
2020/05/04,07:04:30,39.5068,27.0345,3.2,10.3,Balıkesir,Marmara Bölgesi
2020/05/04,06:33:53,33.6358,32.6803,2.9,5.0,Mersin,Akdeniz Bölgesi
2020/05/04,06:24:34,37.4252,35.9910,2.1,1.7,Osmaniye,Akdeniz Bölgesi
2020/05/04,06:04:40,39.0698,27.8367,1.6,3.3,Manisa,Ege Bölgesi
2020/05/04,05:25:35,37.5148,35.9748,1.9,3.9,Osmaniye,Akdeniz Bölgesi
2020/05/04,05:08:24,37.3368,29.4467,1.5,7.1,Denizli,Ege Bölgesi
2020/05/04,05:07:06,37.3843,35.9655,1.8,7.0,Osmaniye,Akdeniz Bölgesi
2020/05/04,04:56:02,37.3880,29.4633,1.7,6.5,Denizli,Ege Bölgesi
2020/05/04,04:41:59,37.3778,35.9752,1.7,5.2,Osmaniye,Akdeniz Bölgesi
2020/05/04,04:31:49,37.8175,30.5583,2.3,7.8,Isparta,Akdeniz Bölgesi
2020/05/04,04:17:18,37.5168,35.9968,2.4,7.8,Osmaniye,Akdeniz Bölgesi
2020/05/04,04:02:52,40.1905,42.7150,2.1,5.0,Kars,Doğu Anadolu Bölgesi
2020/05/04,03:29:33,37.8913,27.3637,1.5,5.0,İzmir,Ege Bölgesi
2020/05/04,03:01:34,37.8740,29.6457,2.2,5.0,Denizli,Ege Bölgesi
2020/05/04,02:47:37,37.5878,35.9137,1.4,15.1,Adana,Akdeniz Bölgesi
2020/05/04,02:41:13,37.5135,35.9948,1.5,3.5,Osmaniye,Akdeniz Bölgesi
2020/05/04,02:31:18,38.5517,39.5827,2.5,5.0,Elazığ,Doğu Anadolu Bölgesi
2020/05/04,02:10:25,37.4315,35.9893,2.0,7.5,Osmaniye,Akdeniz Bölgesi
2020/05/04,02:05:30,39.0177,27.8562,1.3,4.8,Manisa,Ege Bölgesi
2020/05/04,01:51:38,40.1503,27.2907,1.6,12.0,Çanakkale,Marmara Bölgesi
2020/05/04,01:51:04,40.2670,27.3012,1.6,5.4,Çanakkale,Marmara Bölgesi
2020/05/04,01:38:18,37.5062,36.0013,2.2,3.2,Osmaniye,Akdeniz Bölgesi
2020/05/04,01:26:24,38.3523,28.2937,1.5,5.2,Manisa,Ege Bölgesi
2020/05/04,01:17:27,38.4862,39.2170,2.1,5.2,Elazığ,Doğu Anadolu Bölgesi
2020/05/04,01:05:21,40.2138,41.9897,2.8,5.0,Erzurum,Doğu Anadolu Bölgesi
2020/05/04,01:00:45,37.5138,36.0057,2.7,5.0,Osmaniye,Akdeniz Bölgesi
2020/05/04,00:50:19,38.6638,43.1188,1.8,13.0,Van,Doğu Anadolu Bölgesi
