Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/04/26,23:46:40,38.4315,39.1505,1.7,12.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/26,22:21:41,38.3770,39.1713,1.6,2.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/26,22:15:11,37.8767,26.7828,2.0,1.9,Aydın,Ege Bölgesi
2020/04/26,22:07:57,40.4245,26.9783,1.7,7.5,Marmara Denizi,Marmara Bölgesi
2020/04/26,21:38:54,37.8690,26.8165,2.0,11.0,Aydın,Ege Bölgesi
2020/04/26,20:39:47,38.9698,27.8997,1.7,4.7,Manisa,Ege Bölgesi
2020/04/26,17:39:27,39.8045,26.1087,2.2,7.7,Çanakkale,Marmara Bölgesi
2020/04/26,17:32:50,38.4162,39.1782,1.2,5.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/26,16:55:31,35.7898,28.2900,2.2,7.0,Mersin,Akdeniz Bölgesi
2020/04/26,15:51:25,39.0635,27.8773,1.3,4.8,Manisa,Ege Bölgesi
2020/04/26,14:12:36,38.4227,39.1690,1.9,4.9,Elazığ,Doğu Anadolu Bölgesi
2020/04/26,14:09:01,38.4417,39.1475,1.0,11.4,Elazığ,Doğu Anadolu Bölgesi
2020/04/26,13:00:43,36.1305,33.5687,1.4,0.0,Mersin,Akdeniz Bölgesi
2020/04/26,13:00:09,38.4085,39.2347,1.4,8.5,Elazığ,Doğu Anadolu Bölgesi
2020/04/26,12:53:52,38.5502,26.5308,1.4,1.9,İzmir,Ege Bölgesi
2020/04/26,11:22:18,38.4587,27.4452,1.7,5.3,İzmir,Ege Bölgesi
2020/04/26,11:15:27,38.4815,39.2618,1.5,10.4,Elazığ,Doğu Anadolu Bölgesi
2020/04/26,10:19:07,37.0468,34.3057,1.8,19.6,Mersin,Akdeniz Bölgesi
2020/04/26,08:46:28,39.4577,36.1990,2.3,5.0,Sivas,İç Anadolu Bölgesi
2020/04/26,07:03:39,38.4280,39.1647,1.4,24.8,Elazığ,Doğu Anadolu Bölgesi
2020/04/26,06:43:01,38.3277,38.8798,1.7,15.6,Malatya,Doğu Anadolu Bölgesi
2020/04/26,06:04:55,39.0053,27.8578,1.3,11.9,Manisa,Ege Bölgesi
2020/04/26,05:11:22,38.4763,39.3182,1.4,14.8,Elazığ,Doğu Anadolu Bölgesi
2020/04/26,05:08:00,39.0925,27.8525,1.7,5.0,Manisa,Ege Bölgesi
2020/04/26,05:02:35,37.0383,29.1492,2.0,5.6,Denizli,Ege Bölgesi
2020/04/26,04:53:21,38.4045,38.8775,1.9,21.6,Elazığ,Doğu Anadolu Bölgesi
2020/04/26,04:33:01,40.6098,28.9298,1.5,12.7,Yalova,Marmara Bölgesi
2020/04/26,03:17:45,36.1118,25.7655,3.2,8.1,Mersin,Akdeniz Bölgesi
2020/04/26,03:11:59,36.3018,25.5955,4.0,6.5,Mersin,Akdeniz Bölgesi
2020/04/26,02:20:46,39.0572,27.8808,1.7,13.3,Manisa,Ege Bölgesi
2020/04/26,01:41:09,39.0475,29.7788,1.8,6.9,Kütahya,Ege Bölgesi
2020/04/26,01:27:38,38.2362,38.6903,1.1,5.4,Malatya,Doğu Anadolu Bölgesi
2020/04/26,01:12:07,40.8133,27.9650,2.4,19.4,Marmara Denizi,Marmara Bölgesi
2020/04/26,00:24:44,39.0878,29.7460,1.9,2.1,Kütahya,Ege Bölgesi
