Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/04/15,22:46:25,40.2040,32.3778,3.2,7.5,Ankara,İç Anadolu Bölgesi
2020/04/15,22:13:01,39.0298,27.8953,1.5,2.9,Manisa,Ege Bölgesi
2020/04/15,21:47:53,40.3368,27.0060,2.1,11.9,Çanakkale,Marmara Bölgesi
2020/04/15,21:27:04,38.8575,27.9463,1.9,0.0,Manisa,Ege Bölgesi
2020/04/15,20:43:05,35.8715,35.4730,2.6,16.6,Mersin,Akdeniz Bölgesi
2020/04/15,20:27:32,38.3052,42.7133,3.5,5.0,Van,Doğu Anadolu Bölgesi
2020/04/15,20:05:19,37.2373,28.1335,1.8,0.0,Muğla,Ege Bölgesi
2020/04/15,17:43:40,35.8010,35.4897,1.8,11.4,Mersin,Akdeniz Bölgesi
2020/04/15,17:42:03,37.2192,37.1857,1.1,0.0,Gaziantep,Güneydoğu Anadolu Bölgesi
2020/04/15,17:11:52,35.8433,35.4508,3.7,11.4,Mersin,Akdeniz Bölgesi
2020/04/15,16:50:46,40.8058,27.6463,2.0,9.3,Marmara Denizi,Marmara Bölgesi
2020/04/15,15:54:45,40.3760,30.8163,1.3,27.7,Bolu,Karadeniz Bölgesi
2020/04/15,15:36:58,35.5240,35.7457,2.2,19.4,Mersin,Akdeniz Bölgesi
2020/04/15,15:33:38,36.0552,35.3342,2.3,15.6,Mersin,Akdeniz Bölgesi
2020/04/15,15:01:00,38.9942,27.8750,1.4,14.5,Manisa,Ege Bölgesi
2020/04/15,14:43:14,35.8863,35.5420,1.7,23.5,Mersin,Akdeniz Bölgesi
2020/04/15,14:34:31,35.9047,35.4413,2.7,9.0,Mersin,Akdeniz Bölgesi
2020/04/15,14:12:38,38.3817,38.7718,2.2,13.2,Malatya,Doğu Anadolu Bölgesi
2020/04/15,13:40:29,35.9460,35.5222,2.4,24.2,Mersin,Akdeniz Bölgesi
2020/04/15,13:28:57,39.1467,27.8228,1.5,7.5,Manisa,Ege Bölgesi
2020/04/15,13:10:56,39.2465,41.3645,1.9,29.2,Muş,Doğu Anadolu Bölgesi
2020/04/15,12:58:46,39.5962,35.2352,1.7,4.5,Yozgat,İç Anadolu Bölgesi
2020/04/15,12:20:17,36.1228,35.4957,2.1,19.9,Mersin,Akdeniz Bölgesi
2020/04/15,12:14:46,35.9370,35.4290,2.2,3.6,Mersin,Akdeniz Bölgesi
2020/04/15,12:10:57,38.5527,39.3645,1.8,17.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/15,12:08:41,35.9997,35.4305,3.0,11.9,Mersin,Akdeniz Bölgesi
2020/04/15,11:57:33,37.2632,28.3173,1.4,16.9,Muğla,Ege Bölgesi
2020/04/15,11:56:15,37.1712,28.2743,1.8,18.1,Muğla,Ege Bölgesi
2020/04/15,11:49:00,35.8750,35.4872,2.5,18.3,Mersin,Akdeniz Bölgesi
2020/04/15,11:45:45,35.8828,35.4523,2.3,5.6,Mersin,Akdeniz Bölgesi
2020/04/15,11:34:37,36.0437,35.4338,2.4,15.0,Mersin,Akdeniz Bölgesi
2020/04/15,11:18:35,35.8190,35.5013,4.6,13.8,Mersin,Akdeniz Bölgesi
2020/04/15,10:56:52,35.9520,35.4743,2.4,16.6,Mersin,Akdeniz Bölgesi
2020/04/15,10:47:56,38.3755,38.9315,1.6,14.7,Elazığ,Doğu Anadolu Bölgesi
2020/04/15,10:40:01,35.6978,35.5507,4.8,8.7,Mersin,Akdeniz Bölgesi
2020/04/15,09:40:15,40.1345,27.2973,2.8,5.2,Çanakkale,Marmara Bölgesi
2020/04/15,09:11:06,39.1100,27.8232,2.4,7.1,Manisa,Ege Bölgesi
2020/04/15,09:08:42,38.4668,39.0412,1.7,16.7,Elazığ,Doğu Anadolu Bölgesi
2020/04/15,07:01:54,37.3812,35.3818,2.2,6.2,Adana,Akdeniz Bölgesi
2020/04/15,06:50:45,37.9392,28.6092,1.9,5.1,Aydın,Ege Bölgesi
2020/04/15,06:38:00,35.8520,35.4697,2.5,5.6,Mersin,Akdeniz Bölgesi
2020/04/15,05:58:15,35.4870,29.6677,2.1,62.3,Mersin,Akdeniz Bölgesi
2020/04/15,05:35:35,35.8610,35.5473,2.8,17.6,Mersin,Akdeniz Bölgesi
2020/04/15,05:24:43,36.9635,30.6113,1.1,27.2,Antalya,Akdeniz Bölgesi
2020/04/15,05:09:29,38.9952,27.8455,1.8,9.4,Manisa,Ege Bölgesi
2020/04/15,05:05:46,38.3380,38.6942,2.2,16.5,Malatya,Doğu Anadolu Bölgesi
2020/04/15,04:44:05,39.6873,38.6955,2.1,1.9,Erzincan,Doğu Anadolu Bölgesi
2020/04/15,04:35:30,36.0368,35.4818,1.5,7.3,Mersin,Akdeniz Bölgesi
2020/04/15,04:23:47,38.3998,39.3033,1.2,17.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/15,03:51:58,35.8137,35.6250,2.5,22.8,Mersin,Akdeniz Bölgesi
