Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/04/20,23:32:33,38.5082,39.5882,2.4,8.6,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,23:27:55,38.2788,37.1827,1.8,5.0,Kahramanmaraş,Akdeniz Bölgesi
2020/04/20,23:16:43,40.6420,28.9573,1.8,12.1,Yalova,Marmara Bölgesi
2020/04/20,18:31:07,36.3068,27.7972,2.4,9.5,Mersin,Akdeniz Bölgesi
2020/04/20,17:08:36,38.3743,39.2273,0.9,8.7,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,16:59:07,38.9998,27.6250,1.4,11.2,Manisa,Ege Bölgesi
2020/04/20,15:47:32,38.9682,27.8560,1.0,18.8,Manisa,Ege Bölgesi
2020/04/20,15:46:34,38.4645,39.3085,1.1,5.3,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,15:27:02,38.5233,39.3450,1.0,4.2,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,14:47:48,39.0957,27.8040,2.9,3.0,Manisa,Ege Bölgesi
2020/04/20,14:14:12,37.3198,37.1297,1.5,9.3,Kahramanmaraş,Akdeniz Bölgesi
2020/04/20,13:55:02,39.1363,27.7955,3.4,2.2,Manisa,Ege Bölgesi
2020/04/20,13:47:34,36.1348,33.5657,1.5,0.0,Mersin,Akdeniz Bölgesi
2020/04/20,13:32:37,39.1367,27.7998,2.4,5.0,Manisa,Ege Bölgesi
2020/04/20,12:48:16,38.0420,32.4200,1.6,0.0,Konya,İç Anadolu Bölgesi
2020/04/20,12:33:56,36.1427,33.2253,1.3,1.2,Mersin,Akdeniz Bölgesi
2020/04/20,12:11:33,37.2318,28.3405,1.6,1.1,Muğla,Ege Bölgesi
2020/04/20,11:58:32,37.2272,28.2875,1.5,0.0,Aydın,Ege Bölgesi
2020/04/20,11:55:49,39.1512,27.8212,1.5,4.7,Manisa,Ege Bölgesi
2020/04/20,11:40:38,38.4268,39.1097,1.7,8.4,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,11:39:10,39.3130,33.1577,1.6,10.8,Ankara,İç Anadolu Bölgesi
2020/04/20,11:22:33,38.3852,39.1260,0.9,5.1,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,11:22:08,37.9472,32.1825,0.9,5.0,Konya,İç Anadolu Bölgesi
2020/04/20,10:56:25,38.4038,39.3927,0.7,7.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,10:41:31,38.4512,39.1713,1.9,2.8,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,10:34:13,38.5363,38.8310,0.9,17.7,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,10:30:03,39.7730,28.7772,1.8,9.4,Bursa,Marmara Bölgesi
2020/04/20,09:43:41,36.0243,31.4420,2.0,15.2,Mersin,Akdeniz Bölgesi
2020/04/20,09:36:45,38.4820,31.5627,1.3,19.5,Konya,İç Anadolu Bölgesi
2020/04/20,07:49:09,40.0427,27.8623,1.7,16.8,Balıkesir,Marmara Bölgesi
2020/04/20,07:10:45,40.1688,34.1833,2.3,5.3,Çorum,Karadeniz Bölgesi
2020/04/20,06:54:42,39.5182,25.1605,2.5,5.9,Aydın,Ege Bölgesi
2020/04/20,06:37:03,37.7223,37.4390,1.9,5.0,Kahramanmaraş,Akdeniz Bölgesi
2020/04/20,06:04:07,38.4333,39.1660,1.6,4.0,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,03:57:48,40.8040,27.6942,2.2,12.8,Marmara Denizi,Marmara Bölgesi
2020/04/20,02:58:16,38.4278,39.1698,1.8,4.1,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,02:40:08,39.1430,27.8002,2.9,7.9,Manisa,Ege Bölgesi
2020/04/20,01:59:07,39.1007,27.8037,2.8,8.1,Manisa,Ege Bölgesi
2020/04/20,01:48:35,35.7965,35.5263,2.9,7.7,Mersin,Akdeniz Bölgesi
2020/04/20,01:48:14,38.4230,39.1503,1.8,4.9,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,01:41:31,38.4315,39.1632,1.6,1.1,Elazığ,Doğu Anadolu Bölgesi
2020/04/20,00:17:57,39.0473,27.9572,1.3,5.3,Manisa,Ege Bölgesi
2020/04/20,00:12:55,38.9683,27.8973,1.6,10.4,Manisa,Ege Bölgesi
