Date,Hour,Latitude,Longitude,Magnitude,Depth,Location,Area
2020/05/03,23:49:13,40.9600,34.5772,2.0,11.7,Çorum,Karadeniz Bölgesi
2020/05/03,23:36:12,39.6225,42.7980,3.1,5.0,Ağrı,Doğu Anadolu Bölgesi
2020/05/03,23:14:18,37.5070,35.9882,2.7,5.0,Osmaniye,Akdeniz Bölgesi
2020/05/03,23:12:39,37.4215,35.9715,1.9,7.0,Osmaniye,Akdeniz Bölgesi
2020/05/03,22:45:52,37.5053,35.9728,1.8,5.9,Osmaniye,Akdeniz Bölgesi
2020/05/03,22:20:30,39.3023,38.4608,2.6,5.0,Erzincan,Doğu Anadolu Bölgesi
2020/05/03,21:57:09,37.4792,36.0005,1.7,1.9,Osmaniye,Akdeniz Bölgesi
2020/05/03,20:56:51,37.5277,35.9998,2.4,5.0,Osmaniye,Akdeniz Bölgesi
2020/05/03,20:52:13,38.9832,27.8668,1.7,14.8,Manisa,Ege Bölgesi
2020/05/03,20:48:32,38.4135,39.2617,0.8,8.6,Elazığ,Doğu Anadolu Bölgesi
2020/05/03,20:42:26,37.3810,35.9793,2.2,6.1,Osmaniye,Akdeniz Bölgesi
2020/05/03,20:42:01,36.9173,34.4318,1.7,20.2,Mersin,Akdeniz Bölgesi
2020/05/03,20:13:25,38.5988,31.1698,1.5,13.3,Çay,Ege Bölgesi
2020/05/03,20:11:54,39.7515,28.5663,1.7,6.1,Bursa,Marmara Bölgesi
2020/05/03,19:59:24,37.0145,34.5362,1.9,10.2,Mersin,Akdeniz Bölgesi
2020/05/03,18:58:15,38.6995,39.7118,2.0,11.9,Elazığ,Doğu Anadolu Bölgesi
2020/05/03,18:40:26,39.0112,29.3523,1.4,7.1,Kütahya,Ege Bölgesi
2020/05/03,18:15:18,38.3055,41.0070,1.9,5.9,Diyarbakır,Güneydoğu Anadolu Bölgesi
2020/05/03,18:09:47,39.0740,27.8730,1.8,3.1,Manisa,Ege Bölgesi
2020/05/03,17:55:49,38.4787,39.2300,2.5,1.5,Elazığ,Doğu Anadolu Bölgesi
2020/05/03,17:51:32,38.4572,39.1845,1.8,3.0,Elazığ,Doğu Anadolu Bölgesi
2020/05/03,17:08:28,39.1147,27.8568,1.1,5.0,Manisa,Ege Bölgesi
2020/05/03,17:06:36,39.0692,27.8908,1.9,17.2,Manisa,Ege Bölgesi
2020/05/03,16:28:49,38.3997,39.0990,2.6,14.0,Elazığ,Doğu Anadolu Bölgesi
2020/05/03,16:25:24,38.4045,39.0630,4.0,5.9,Elazığ,Doğu Anadolu Bölgesi
2020/05/03,15:58:03,37.1115,35.7660,2.3,21.4,Adana,Akdeniz Bölgesi
2020/05/03,15:55:10,39.0093,27.8680,3.4,13.5,Manisa,Ege Bölgesi
2020/05/03,14:57:58,40.9930,27.0668,2.1,12.0,Tekirdağ,Marmara Bölgesi
2020/05/03,14:51:52,39.8030,26.6662,1.9,8.8,Çanakkale,Marmara Bölgesi
2020/05/03,13:24:30,38.3783,39.0010,2.1,5.0,Elazığ,Doğu Anadolu Bölgesi
2020/05/03,13:19:20,38.3583,38.8395,3.0,3.6,Malatya,Doğu Anadolu Bölgesi
2020/05/03,13:06:13,38.4372,39.2012,2.3,4.1,Elazığ,Doğu Anadolu Bölgesi
2020/05/03,12:13:58,39.0892,27.8313,1.2,12.5,Manisa,Ege Bölgesi
2020/05/03,10:25:15,38.4770,38.6350,1.9,9.1,Elazığ,Doğu Anadolu Bölgesi
2020/05/03,10:23:56,36.0425,27.1192,2.4,15.6,Mersin,Akdeniz Bölgesi
2020/05/03,08:46:19,39.3078,38.4460,2.4,2.8,Erzincan,Doğu Anadolu Bölgesi
2020/05/03,08:30:17,39.0498,27.8662,2.0,12.0,Manisa,Ege Bölgesi
2020/05/03,08:27:29,39.0487,27.8452,2.1,12.2,Manisa,Ege Bölgesi
2020/05/03,08:19:50,39.0623,27.8475,2.6,14.0,Manisa,Ege Bölgesi
2020/05/03,06:17:32,39.2745,29.2057,2.6,5.2,Kütahya,Ege Bölgesi
2020/05/03,06:12:31,39.2445,29.1683,1.7,7.9,Kütahya,Ege Bölgesi
2020/05/03,05:30:45,36.0797,35.5182,1.5,18.7,Mersin,Akdeniz Bölgesi
2020/05/03,05:26:30,35.6873,35.5692,2.5,11.3,Mersin,Akdeniz Bölgesi
2020/05/03,05:08:55,35.8348,25.6353,3.9,76.7,Mersin,Akdeniz Bölgesi
2020/05/03,05:05:17,38.5173,39.2982,2.5,5.4,Elazığ,Doğu Anadolu Bölgesi
2020/05/03,04:34:19,39.6052,26.0915,2.1,5.2,Çanakkale,Marmara Bölgesi
2020/05/03,04:14:16,38.9993,27.8908,1.8,5.4,Manisa,Ege Bölgesi
2020/05/03,02:09:22,38.9923,27.9067,1.6,6.3,Manisa,Ege Bölgesi
2020/05/03,01:05:04,38.5015,39.2910,2.3,5.4,Elazığ,Doğu Anadolu Bölgesi
2020/05/03,00:59:31,37.5198,26.8140,2.2,17.2,Aydın,Ege Bölgesi
2020/05/03,00:13:35,38.4573,39.1600,2.0,4.1,Elazığ,Doğu Anadolu Bölgesi
